cog	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change	arc_p_fisher	arc_p_chi2
C	1181	11347	9065	191478	0.10408037366704856	0.047342253418147254	2.1984668272497654	1.422721301580311e-125	4.061954624410845e-158
G	1376	11347	159	191478	0.12126553273993126	0.0008303826027010936	146.03573382375194	0.0	0.0
U	3769	11347	1649	191478	0.3321582797215123	0.008611955420466059	38.56943789236855	0.0	0.0
R	1285	11347	16433	191478	0.11324579183925267	0.08582186987539038	1.319544680204249	3.537514474130218e-22	1.0660123968458851e-23
P	907	11347	6893	191478	0.0799330219441262	0.03599891371332477	2.2204287212849843	1.9162544770260244e-97	2.3148769156980484e-123
H	461	11347	11507	191478	0.04062747862871244	0.060095676787933865	0.6760466110079604	2.7399334169315494e-19	1.4560135916245415e-17
K	747	11347	40603	191478	0.06583237860227373	0.21205047055014153	0.3104561778687823	0.0	1.3081821254797107e-308
T	569	11347	1046	191478	0.05014541288446285	0.005462768568712854	9.179486967773594	1.1551892631506203e-290	0.0
O	31	11347	10938	191478	0.0027319996474839165	0.05712405602732429	0.04782572942959639	1.3891527205918187e-228	1.62546533054882e-136
S	1393	11347	16179	191478	0.12276372609500308	0.08449534672390561	1.4529051699869584	8.720850297173602e-41	6.412292751147312e-45
F	44	11347	8033	191478	0.00387767691900943	0.04195260029872883	0.09242995407669459	2.2383947721219793e-142	4.176898788595547e-90
J	86	11347	56020	191478	0.007579095796245704	0.29256624781959284	0.025905571311558996	0.0	0.0
E	8	11347	1508	191478	0.0007050321670926236	0.007875578395429239	0.08952131915819721	2.3337116941668334e-27	1.1244833680942371e-17
W	23	11347	0	191478	0.002026967480391293	0.0	inf	1.5464011004668488e-29	1.4618810727391155e-82
V	72	11347	18636	191478	0.0063452895038336125	0.09732710807507912	0.06519550030130138	0.0	4.561949120006634e-232
X	11	11347	1765	191478	0.0009694192297523574	0.009217769143191385	0.10516852990057898	2.734173317168483e-30	8.123653358741552e-20
L	3	11347	1117	191478	0.00026438706265973383	0.005833568347277494	0.04532167053174621	1.0081787801947015e-23	1.227881608829884e-14
Q	21	11347	1768	191478	0.001850709438618137	0.009233436739468763	0.2004356006152283	2.2727604115137547e-22	4.643939086692055e-16
D	4	11347	23	191478	0.0003525160835463118	0.00012011823812657329	2.9347423758817692	0.061462585638829	0.0956862838532742
B	1	11347	115	191478	8.812902088657794e-05	0.0006005911906328664	0.14673711879408846	0.023031771995598298	0.04375558979316615
I	0	11347	792	191478	0.0	0.004136245417228089	0.0	3.231038624890662e-20	1.1465391316166622e-11
M	0	11347	15	191478	0.0	7.833798138689562e-05	0.0	1.0	0.7031468840141746
N	0	11347	3	191478	0.0	1.5667596277379124e-05	0.0	1.0	1.0
